ID,label,description,,
128004437,5,UC Davis Center for Nutrition in Schools provides research-based #nutritioneducation programs and resources that improve student health #ucdavis #uccalfresh,,
17468316,2,Father. Doctor of Public Health. Epidemiologist. Husband .  brother .  son .  and soccer/running/swimming/cycling participant. All opinions my own.,,
21609863,4,A compassionate Pharmacist committed to excellence in patient care. As a Realtor .  looking to providing housing solutions to people selling or buying real estate,,
8.45E+17,5,Servir a la comunidad cientÃ­fica a travÃ©s de la educaciÃ³n continua de NutriciÃ³n ClÃ­nica y Obesidad.,,
2943842956,2,Maser degree of industerial medicine and Occupational Health .Master degree of neuropsychiatry  . Medical doctorate degree researcher of industrial medicine.,,
32918426,1,Mother .  Nurse. Live .  Laugh .  and Love!,,
391016682,8,Med student getting ready to start my residency. Interested in all things healthcare...and baseball.,,
831266814,5,NYC Nutritionist .  Registered Dietitian .  Mom and Food lover. INSTAGRAM: @cjoneshoward.rdn,,
88805854,5,Si no me encuentran .  bÃºsquenme en un libro o en una taza de cafÃ©. Nutricionista antidieta y foodie con 31 aÃ±os de experiencia en sobreanalizar las cosas. INTJ.,,
1577409594,4,trying to be a marvellous pharmacist,,
279807698,1,South Carolinian .  critical thinking legal nurse .  Christian .  mother .  wife & proud American. Nurses making a difference with injury cases. 803-378-5759,,
178325505,1,Nurse|Beauty Enthusiast|ðŸ‘¨â€ðŸ‘©â€ðŸ‘§â€ðŸ‘¦,,
739519094,1,Small town girl from Rome .  NY living in Boston .  MA. Nurse by day .  wife .  dog mom .  sister .  and aunt the rest of the time. â¤ï¸,,
559946048,1,Bringing awareness to nursing science and health disparities through media and film ðŸ“½ðŸŽ¬ We work for @producernurse,,
7.62E+17,4,The Mother &Sri AurobindoðŸ™ . #Blogger #pharmacist . & Fan of #AA @alluarjun garu â£ï¸,,
245915617,5,Nutritionist . Yoga teacher & Lifestyle coach! Proud Dog owner .  new mom . Music lover .  thinker of beautiful thoughts! #wellnessmadesimple #thewellnesstrifecta #love,,
974995976,5,i have done post ate  in nutritional status of school going children of 10 to 19 years last five years  i am emailing medical news to the websites,,
281557153,2,Medical Doctor . Fiji Islands . God .  Family and Medicine  . ðŸ‡³ðŸ‡¬ ðŸ‡«ðŸ‡¯,,
1961128880,2,We are a team of designers and developers who create Medical Apps for doctors . medical practices .  sales rep .  hospitals .  device manufactures & medical enterprises,,
99612556,5,Personal Trainer and Nutrition Consultant. Education on holistic nutrition .  strength .  pilates and yoga.,,
3127635159,2,A successful doctor to be~` love adventures .  skiing .  riding horsesâ™¡â™¡My ask.fm @w3ood76,,
2895232069,5,Producer of Plant extract Nutrition Supplement Pharmaceutical Ingredient    . We are extracting concentration of Natural . wellness . Happiness . Peace . Love and Energy!,,
856974042,2,Doctor & mother of one gorgeous little girl .  two silly cats & a parrot. Who knew life could be this good?,,
4715345494,1,Nurse Education Strategists - bringing innovation .  grounded in evidence .  to nursing education and beyond.,,
450408719,4,IKATAN FARMASI KLINIK INDONESIA - Indonesian Clinical Pharmacist Association,,
26788686,2,Family Medicine Physician in New York City. Experienced .  compassionate & up-to-date. On the list of Top Doctors in the US and NYC for over 10 years.,,
1.24E+18,1,Emergency Department Nurse Practitioner. ðŸ§¡ðŸ¢,,
384669893,8,Aspiring Pre-Med student at The University of Utah. Major is Health Promotion and Education with a Nuclear Medicine Technology Emphasis. Loves human anatomy.,,
85212328,1,ðŸ¦‹Lupus .  Sjogren's .  CGD .  Lymphoma and Intractable Pain warriorðŸ¦‹ Polymer clay artist .  and medically retired nurse.,,
319005054,2,Doctor. Global affairs & Tech enthusiast.,,
247354577,4,Educator .  Pharmacist .  Entrepreneur .  Photographer .  Writer .  Optimist .  Motivator .  Philanthropist .  MOM of three precious girls .  love to learn .  travel & cook,,
2913846473,1,Registered Nurse and Family Nurse Practitioner in training with an interest in women's health and preventative medicine.,,
1259983321,1,Retail & wholesale #MedicalSupplies and #Healthcare Products from top brands in the industry for Patients .  Nurses .  s .  Healthcare Facilities.,,
263015356,2,doctor | music-lover | cool .  calm and collected...mostly,,
7.24E+17,5,Vegaaniravitsemukseen perehtynyt ETM .  laillistettu ravitsemusterapeutti. A registered dietitian .  specialized in #vegan nutrition and #vitaminD.,,
70047114,2,Public Health doctoral student | PH lecturer | Health care analist | Industrial engineer Â¦ Metal militia,,
303388341,5,Working mom  . Licensed Clinical Dietitian (BSc .  MSc nutrition .  MBA) . GM Clinical Operations @thedietcare,,
319668256,5,Univ. Prof. of Public Health Nutrition and Sports Medicine .  MD. .  PhD,,
2175241333,5,Passionate about real food and wellness.  Registered Dietitian Nutritionist. Eat well. Live fearlessly. Be happy!,,
23815695,1,public health nurse + researcher committed to redefining health and wellness opportunities in our world.,,
247597514,4,Critical Care Pharmacist. Antibiotic Stewardship Pharmacist. Busy Mom of 2 boys,,
499171688,1,International Nurse Specialist/RN MEDITECH; owner Northeast Medical Legal Consulting .  Mom & Gigi. My motto: What doesn't kill you makes you stronger..,,
307891264,2,Doctor,,
23209611,1,Oncology Survivorship Nurse Navigator and  Founder . Blueprints of Hope . Making lives better for all who are experiencing any season of cancer.,,
2751065563,2,MDNews is the premier local market .  business & practice management publication for #doctors #physicians in the Fort Worth area. Powered by @TrueNorthCustom,,
55289856,2,Family medicine doctor based at an FQHC | Teaching Health Center alum | â€œCompassion is a verb.â€,,
1013134304,5,Award-winning nutrition software dedicated to make food information more accessible and valuable to implement by combining nutrition science .  food law & tech.,,
1042283100,4,Pharmacist by day .  old house restoration fanatic by night . human .  health & animal activist .  outdoor sports & photography lover .  mom of 5 kitties & Packer fan!,,
152693492,4,Pharmacist. Pharmaceutical Care. Proud mummy of Clara & Guillem. Barcelona,,
111221328,1,Wife/Nurse/Sports Enthusiast... living life to the fullest! â˜ºâ™¥,,
857803490,8,Medical Student..,,
81460434,2,MÃ¡s complicada que bautizo de Gremlins ... Soy de los que salimos a trabajar y no nos quedamos en casa. . Doctora y periodista de salud,,
395710806,6,I work in Exercise Physiology with a focus in chronic disease management. I also work as a Cardiology Technologist & volunteer with the West End Residence Assoc,,
195494539,5,Registered Nutritionist MBANT UK .  Research Assistant .  Lab Enthusiast and Health HunterðŸ¤ª,,
325631649,8,7th year medical student at kuwait health science center i am willing to be a cardiologist one of main priorities in life is to help people,,
3026612323,8,Amygdala CorpÂ©ï¸ ||â€¢medical Studentâ€¢ ||â€¢Motivatorâ€¢||â€¢God-Firstâ€¢||â€¢Graphic Designerâ€¢||,,
121787463,5,Lic. NutriciÃ³n.,,
156953758,2,kind at heart.... .  . music lover.... .  . hard working... doctor..,,
163974961,8,Medical student .   .  . Being the best I can be...Thank God for my life!!!,,
314374086,5,Nutrition and Dietetic academics from the University of Wollongong working together in teaching .  research and advocacy for dietetic practice.,,
41389457,1,Nurse Practitioner .  Health Educator .  Western New England University .  AFC Urgent Care. Passionate about health & wellness. Health thrives with peace and love! â¤,,
166527528,2,doctor .  indian .  thinker .  husband .  father.,,
3297810538,5,Nutricionista. Especialista en promociÃ³n de la salud. EpidemiÃ³loga. Activista por la reducciÃ³n de las desigualdades alimentarias,,
125092920,1,Mutia and Susan's Son.Husband.Father. Brother. Uncle. Registered Nurse. Mental Health&Psychiatry pundit. Jesus' very own Creation.Retweets are not endorsements.,,
74985326,5,Dietitian/Nutritionist .  Author .  Weight Loss Success Story. #NLA member in love with #lipids .  #cholesterol .  and heart health. Founder of Top Balance Nutrition.,,
432711651,1,Nurse Practitioner. Work in Progress.,,
2258517037,1,A 501(c)3 nonprofit company .  Couture Health Care company makes visits in home and office for nurse .  health .  and spiritual needs.,,
1.19E+18,5,CEO en @soynutraclub. Nutricionista en #soynutraclub,,
2372642269,4,Pharmacist @UAEH / CRA at @AMIC_Pachuca,,
600943660,4,clinical pharmacist .  emphasizing on bond of networking and clinical up todate on pharmacy market . join me and lets build up our community! Follow Me,,
23614481,5,Cypress Fairbanks ISD | Child Nutrition Department | Quality Assurance & Compliance Coordinator for Schools,,
360330246,1,Nurse since 1995. Experienced from ED to QA & just about everything in between. Love life .  family .  writing and photography .  volunteering.Wife & Mom,,
435064081,2,Licensed Naturopathic Doctor (ND) practicing in Kingston .  ON. Changing the way you look at health care .  naturally.,,
255661043,2,Medical Doctor,,
4780434984,2,RUHS Medical Center is a teaching #hospital that provides training for doctors .  s .  pharmacists & allied #health professionals.,,
2894840738,5,Official account of Health Units: Your favorite source for latest news and in-depth articles on health .  fitness .  diet .  nutrition .  diseases and drugs.,,
1.01E+18,8,A metaphysician that can learn anything. A neurodivergent premed student who studies Plant Biology & Mathematics. I tutor & teach STEM. #BlackMenInMedicine #UMD,,
4710127277,2,@everyDOCTORneed #ourANS1MedicalDEVICE (404)287-6206 Diabetes/D.N.A./Allergy tests,,
278546434,2,Medical Chronicle is a monthly newspaper aimed at private doctors .  specialists .  hospitals and other key role players in the health care sector.,,
228558403,5,Food Safety & Quality .  Human Nutrition,,
798442806,2,Follow/RTâ‰ agreement opinion=mine #PublicHealth #ZPHIB .  down 4 @StopStHarassmnt @speranzaproject @mochamomsbklyn; #MUSLIMA; #doctoralstudent cashapp: $maliyka,,
1242355520,5,NutriciÃ³n .  Metabolismo y Bienestar Integral.  . Tec de Monterrey / Universidad de Barcelona.,,
1872191304,4,Husband .  Dad .  Pharmacist .  Medical Affairs and CV Outcomes. Sports enthusiast. Opinions are my own.,,
1665490464,2,RECENT: Postdoctoral Research & Clinical Neuropsychology Fellow at Harvard/Boston Univ/Boston VAMC's GRECC-TRACTS TBI-Blast TBI Translational Research Center,,
2742407377,5,A healthier life one nutrient at a time!,,
344180096,5,#Natural #Organic #Nutrition #Health Consultant helping people get 110% out of life! #MartialArts #TaeKwonDo #BlackBelt #Artist #Educator #Musician,,
33157512,1,Mom to a great Son .  age 22. I'm a Registered Nurse and just enjoying life!! Also a HUGE Notre Dame Football Fan!!,,
54205072,5,Biochemist .  CMO .  Health .  Fitness & Wellness SoulðŸ§˜ðŸ½@smartnutrition1 @smartbrands1 @smartwellness MMU ðŸ‡¬ðŸ‡§ðŸ‡®ðŸ‡³,,
31599616,1,I'm a Nurse that loves to travel & read. In my past life I used to run heavy equipment - I was the 1st woman in BC to ever run Line-Skidder & set MY own chokers,,
1463354070,5,Corporate Wellness Nutrition Education . Recipe Nutrition Calculations . Innovative Software Applications . Nutrition Tips Education Articles . Cooking & Fitness Videos,,
80367319,1,Nurse working in Emergency. Swimmer .  lifeguard and swim referee. I play the oboe in my free time & I love sports. Like a fish. CulÃ©. ðŸŽ—,,
1.21E+18,1,Robot HemÅŸire - Robot Nurse . Tel : +90 380 222 2216 . E-mail : iletisim@robothemsire.com,,
1.11E+18,8,Artist - Medical student - fifth year - SPU | future surgeon | SYR-res Volunteer | Cars - Movies - Series | Today is the first day of what left in my life. ðŸ’ªðŸ»,,
271658096,5,Personal Trainer & Multisport Coach combatting obesity through nutritional .  metabolic .  plyometic & endurance modules.,,
295221092,8,Been kicking since 1933 .  a co-ed social club @queensu for medical students and alumni. Located at 49 King St E .  Kingston .  ON.,,
330698007,8,Wanna be Dermatologist I Medical Student I Padjadjaran University,,
188578972,2,Medical doctor .  science .  e-lifestyle .  movies .  music .  model kits. See my favourite tweets to know more about me.,,
7.09E+17,5,Nutricionista-DietistaðŸŒðŸ¥ªðŸ…ðŸ¥¦ðŸ¥›ðŸ‘©â€âš•ï¸,,
9.97E+17,5,B.S Nutrition (Dietetics) Arizona State University- pursuing the title of registered dietitian| Type 1 Diabetic,,
101815539,2,Doctor.,,
108835862,1,I have a very full and demanding life .  but I love it! I am a family nurse practitioner and most importantly a mommy!,,
111236327,2,An apple a day keeps the doctor away. This space was thought mainly to talk about everything related with Nutrition & Health.,,
1624665374,4,Clinical Pharmacist/Manager of the Meducation Group at FDB (First Databank .  Inc.) Focus on #patientdrugeducation #medadherence #simplemedinstructions,,
367501573,5,En el ir y venir de una sÃºper-filosofÃ­a de la vida. Estudiante #UN: Nutricionista dietista cuasiformado; MÃ©dico incipiente. . Â¡Never stop the fuckin rave!,,
379684016,2,PsicÃ³loga con 20 aÃ±os de experiencia profesional y de investigaciÃ³n en clÃ­nica y salud. MÃ¡ster y Doctora por la Universidad de Granada.,,
1641509222,2,Doctor of Behavioral Health Program .  College of Health Solutions .  Arizona State University,,
2568247018,5,Tweeting FOR India .  Development .  Equality .  Women .  Health .  Art and Animals .  and AGAINST Poverty .  Malnutrition .  Sexual Violence .  Bigotry .  and much more...,,
446583313,3,The horizon is always a step forward ...#Palestinian .  . #Dentist,,
1292129652,4,pharmacist,,
299663395,1,Medical faculty (PHealth&Law). Boston Univ. nurse .  I need a new gloves,,
8.40E+17,8,+255ðŸ‡¹ðŸ‡¿ . . . . . |â™¦Medical student at @muhimbiliuniversity|choir singer(TenorðŸŽ¶)| ðŸ’’ Job 19:25ðŸ€| . Blessed||Favoured||previlegedðŸ™.,,
61576864,5,Retail Health Strategist/Marketing/Consultant .  ðŸ¥‘ Avos From Mexico ðŸ‡²ðŸ‡½ nutrition expert .  seafoodie .  tennis-nut .  cyclist. Former Bostonian enjoying sun â˜€ï¸ 365!,,
2348718500,1,Mom .  Nurse .  Analyst.,,
1.03E+18,8,UoM 4th Year Medical StudentðŸ’‰ Vice President of UoM African and Caribbean Medics  2018/19ðŸ‘©ðŸ¾â€âš•ï¸ UoM OBS/GYN soc Treasurer 2019/20,,
1691366761,5,Choose a workout that suits your style .  then design a nutrition plan to go with it. With ShedPounds .  getting in shape has never been easier!,,
45731786,1,Wife .  mom .  sister. Retired from graphic arts. Nurse since '05 .  now inpatient hospice unit. Like computers .  books .  Brit TV shows.,,
214061854,2,We are the Patients and Doctors Company..... .  .  .  . A Medical Tourism Facilitator .  We Provide domestic . Inbound and Outbound Medical Tourism,,
143111566,2,Professor @myCCNM . Licensed Naturopathic Doctor . Clinical interest in skin health,,
7.33E+17,5,I'm Alanda Barash. Nutrition & fitness is key to a happy and healthy life! Soon to be pharmacist. ASU Alumni.,,
9.84E+17,2,Ð¡Ð¿ÐµÑ†Ð¸Ð°Ð»Ð¸ÑÑ‚ Ð¿Ð¾ ÑÐºÐ¾Ð½Ð¾Ð¼Ð¸ÐºÐµ Ð¸ Ð¼ÐµÐ½ÐµÐ´Ð¶Ð¼ÐµÐ½Ñ‚Ñƒ .  Ð²Ñ€Ð°Ñ‡ Ð¿Ð¾ Ð¾Ñ€Ð³Ð°Ð½Ð¸Ð·Ð°Ñ†Ð¸Ð¸ Ð·Ð´Ñ€Ð°Ð²Ð¾Ð¾Ñ…Ñ€Ð°Ð½ÐµÐ½Ð¸Ñ . Economy and management specialist .  public health doctor,,
425723286,1,I am an oncology nurse & educator for Mayo Clinic. I write the Living with Cancer Blog for Mayo Clinic. Opinions are my own .  not my employer. #livingwithcancer,,
472993981,5,Official info from CDC's Division of Nutrition .  Physical Activity .  and Obesity about healthy eating and active living. Follows .  Likes .  RT â‰  endorsement.,,
3271384789,2,The world's first FDA approved at-home cold sore laser treatment. Clinically tested and as seen on the TV show .  The Doctors. #Virulite,,
302208250,1,I'm a 42 yr old woman who lives in the baaackwoods!!!  I'm the mother of 3 wonderful children. My life is simple . work as a certified nurse aid and just love it,,
2749927322,2,MDNews is the premier local market .  business & practice management publication for doctors & physicians in the Greater Detroit area. Powered by @TrueNorthCustom,,
2320134577,5,Ayurforeverâ€™s official twitter stream.  Building valuable partnership with the best health .  and nutrition experts to bring the best health guidance to you.,,
378113995,1,Registered Nurse/ Emergency Medical Technician/ Tactical Medic/ Martial Arts Enthusiast/ Music Junkie/ Sports Jockey/ Dog Lover/ Hopeless Romantic/ DareDevil,,
377679752,4,pharmacist.. and well..still figuring out life..,,
282821328,3,Dr. Andy Shumway is a Chandler dentist who services the Arizona communities of Chandler .  Gilbert .  Mesa .  Tempe .  Queen Creek .  and Ahwatukee.,,
3011245500,2,CardioVisual .  an interactive library of patient education videos that enables enhanced doctor-patient communication. . https://t.co/tgJC30gV7w,,
215751312,5,MEDICO.MAGISTER EN NUTRICION .  DIABETES Y E.METABOLICAS .  . TRANSTORNOS ALIMENTARIOS .  . MEDICO URGENCIA,,
623282057,5,Registered & Licensed Dietitian NutritionistðŸ“Pursuing a Masterâ€™s Degree in Nutritional Sciences from Penn State UniversityðŸ“š,,
24600469,1,Rescue dog mom .  . Wound Care Nurse .  . Living with RA .  Sjogrens disease & Chronic pain,,
67394892,5,Certified Nutritional Advisor Do you know anyone who wants a healthier lifestyle; and an extra stream of income?,,
1.09E+18,5,All about nutrition!,,
111236327,5,An apple a day keeps the  away. This space was thought mainly to talk about everything related with Nutrition & Health.,,
270154628,8,Med student Crossfitter Coffee addict â˜•ï¸ From GUATEMALA,,
606731903,5,Community Nutrition . PhD. â€œ I would rather have a mind opened by wonder than one closed by beliefâ€ Virginia Tech 2016 alumni (Go Hokie),,
423858250,1,University of Kansas Alumni. ðŸŒ»ðŸŒ¾ Registered Nurse. ðŸ‘©ðŸ¼â€âš•ï¸ðŸ’•Wife. Proverbs 3:6 â±I love coffee a little too much.â˜•ï¸,,
1169119387,2,Medico Doctor en Ciencias Medicas Experto en Medicina Cardiometabolica premio nacional de medicina 2012 fellow Royal college  of physicians Edimburgo,,
1209739669,8,Medical student,,
25209904,1,RN .  SAFE Program Manager .  Medical SART Coordinator .  and Mom. Married to firefighter. Follow â‰  endorsement. #forensicnurse #SANE #sexualassaultnurseexaminer,,
43182312,4,Pharmacist and master of the weekend trip. #publichealth #hpm #hospice,,
1.08E+18,6,Medical lab technologist,,
2252332637,1,Nurse .  nurse anesthetist & educator.  . Helping to fight food insecurity in DuPage & Cook counties.,,
270979095,2,Medical Doctor/Clinical Research Professional/Patient Advocate,,
78449484,1,Believer . ðŸ‡¯ðŸ‡² . Nurse,,
1020393336,8,Med student .  entrepreneur .  volunteer .  outreach coordinator.. . I'm all about God and growth,,
377604263,5,Covenant Companion Sisters of the Humility of Mary; Spiritual Director .  retired professor (PhD nutrition .  RDN .  FAND) .  leader .  (AND .  state .  local) . ,,
615307608,1,Psychiatric Mental Health Nurse Practitioner in TX; I strive daily to provide care to & advocate for those with mental illness in the community,,
